id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Label
517648,4,4,5,2,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>1,Carnival=>1,Cuisine=>4,Economic=>5",30,2,5,Wealth belongs to the person who enjoys it and not to the one who keeps it.,Dubai
517648,3,2,2,5,"Partner,Friends","Skyscrapers=>1,Sport=>2,Art and Music=>6,Carnival=>5,Cuisine=>5,Economic=>1",30,3,5,Sun-kissed and carefree in Rio de Janeiro.,Rio de Janeiro
517648,5,5,3,1,"Partner,Friends,Siblings","Skyscrapers=>5,Sport=>1,Art and Music=>1,Carnival=>1,Cuisine=>4,Economic=>5",10,1,6,There is something in the New York air that makes sleep useless.,New York City
517648,4,3,3,2,Partner,"Skyscrapers=>1,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>3,Economic=>1",10,2,3,We'll always have Paris.,Paris
524766,4,3,4,3,Friends,"Skyscrapers=>5,Sport=>3,Art and Music=>5,Carnival=>2,Cuisine=>5,Economic=>3",28,4,1,"Not much, doesn't have much understanding of the city",Dubai
524766,3,2,2,4,Friends,"Skyscrapers=>2,Sport=>3,Art and Music=>3,Carnival=>4,Cuisine=>6,Economic=>3",25,4,3,Doesn't really know this city,Rio de Janeiro
524766,5,5,2,5,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>3,Carnival=>4,Cuisine=>2,Economic=>2",13,3,10,Rats,New York City
524766,5,5,2,3,"Partner,Friends","Skyscrapers=>3,Sport=>1,Art and Music=>5,Carnival=>5,Cuisine=>6,Economic=>3",10,1,10,"Rats and strikes

Â ",Paris
499891,5,4,4,1,"Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>4,Carnival=>2,Cuisine=>5,Economic=>6",24,3,4,Home is where you are loved the most and act the worst.,Dubai
499891,3,2,4,4,"Partner,Friends","Skyscrapers=>1,Sport=>6,Art and Music=>5,Carnival=>4,Cuisine=>4,Economic=>2",18,1,3,"""The night is alive with the vibrant energy of the city""",Rio de Janeiro
499891,5,5,3,4,"Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>4,Carnival=>2,Cuisine=>4,Economic=>6",0,1,10,"""The concrete jungle where dreams are made of""",New York City
499891,5,3,4,2,Partner,"Skyscrapers=>5,Sport=>5,Art and Music=>6,Carnival=>4,Cuisine=>4,Economic=>2",4,2,8,"""The city of love""",Paris
503523,4,2,2,2,Partner,"Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>4,Cuisine=>3,Economic=>5",20,5,4,"Habibi, come to Dubai",Dubai
503523,3,3,3,5,"Partner,Friends","Skyscrapers=>1,Sport=>5,Art and Music=>4,Carnival=>6,Cuisine=>3,Economic=>2",25,3,10,I love Rio de Janeiro,Rio de Janeiro
503523,5,5,4,4,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>5,Sport=>3,Art and Music=>6,Carnival=>1,Cuisine=>2,Economic=>4",-10,3,25,"New York, New York, I want to wake up in a city that never sleeps",New York City
503523,5,3,4,2,"Partner,Siblings","Skyscrapers=>1,Sport=>4,Art and Music=>6,Carnival=>2,Cuisine=>5,Economic=>3",-5,2,15,C'est la vie!,Paris
523687,3,1,3,3,Friends,"Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",5,3,5,Skyscraper,Dubai
523687,4,2,3,3,Friends,"Skyscrapers=>1,Sport=>4,Art and Music=>6,Carnival=>2,Cuisine=>5,Economic=>3",10,2,5,Tropical,Rio de Janeiro
523687,5,3,2,2,Friends,"Skyscrapers=>5,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>6",-10,3,5,Busy,New York City
523687,4,1,2,1,Friends,"Skyscrapers=>6,Sport=>2,Art and Music=>4,Carnival=>1,Cuisine=>5,Economic=>3",-10,2,5,Eiffel Tower,Paris
526116,5,5,5,5,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>4,Economic=>5",20,7,5,"""You said money can't buy happiness?""",Dubai
526116,4,3,3,5,"Partner,Friends,Siblings","Skyscrapers=>2,Sport=>5,Art and Music=>3,Carnival=>4,Cuisine=>6,Economic=>1",25,3,5,"""The Marvelous City""",Rio de Janeiro
526116,5,4,4,3,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>4,Carnival=>1,Cuisine=>2,Economic=>5",-1,3,4,"""Concrete jungle where dreams are made of""Â ",New York City
526116,5,3,3,3,Co-worker,"Skyscrapers=>2,Sport=>4,Art and Music=>5,Carnival=>3,Cuisine=>6,Economic=>1",5,2,3,"""Liberty, equality, fraternity""",Paris
312687,5,4,5,5,Partner,"Skyscrapers=>6,Sport=>2,Art and Music=>1,Carnival=>2,Cuisine=>3,Economic=>6",15,4,10,"""Money, Money, and Money""",Dubai
312687,4,4,5,4,"Partner,Friends","Skyscrapers=>2,Sport=>6,Art and Music=>5,Carnival=>2,Cuisine=>3,Economic=>3",15,2,3,"In Rio de Janeiro, it's always a beautiful day.",Rio de Janeiro
312687,5,5,3,5,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>5,Carnival=>6,Cuisine=>6,Economic=>6",3,5,10,The centre of world,New York City
312687,5,5,5,3,Partner,"Skyscrapers=>1,Sport=>1,Art and Music=>6,Carnival=>6,Cuisine=>6,Economic=>3",-5,3,10,Romantic City,Paris
315702,5,5,5,2,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>4,Economic=>5",20,2,2,"""A city beyond your wildest dreams""",Dubai
315702,4,3,3,5,"Friends,Co-worker","Skyscrapers=>1,Sport=>2,Art and Music=>6,Carnival=>5,Cuisine=>4,Economic=>3",25,3,5,"""Better to be safe then sorry""",Rio de Janeiro
315702,5,2,4,2,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>5,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>6",10,2,8,"""Where dreams come true""",New York City
315702,4,1,4,3,Partner,"Skyscrapers=>4,Sport=>1,Art and Music=>5,Carnival=>3,Cuisine=>6,Economic=>2",15,2,10,"""city of lights""",Paris
525137,4,4,5,2,Partner,"Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>2,Cuisine=>1,Economic=>4",24,7,7,Money can buy happiness,Dubai
525137,4,2,2,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>1,Sport=>6,Art and Music=>3,Carnival=>6,Cuisine=>1,Economic=>1",22,3,2,Welcome to brazil,Rio de Janeiro
525137,5,4,5,2,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>6,Carnival=>2,Cuisine=>3,Economic=>6",-8,4,9,a place of wonder,New York City
525137,5,3,4,1,Partner,"Skyscrapers=>2,Sport=>4,Art and Music=>6,Carnival=>1,Cuisine=>6,Economic=>2",-4,2,8,the city of love,Paris
496969,4,4,4,3,"Partner,Friends","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>3,Cuisine=>4,Economic=>2",25,5,5,safe place,Dubai
496969,3,3,3,5,Friends,"Skyscrapers=>2,Sport=>6,Art and Music=>6,Carnival=>5,Cuisine=>3,Economic=>4",25,3,5,futbol,Rio de Janeiro
496969,5,4,3,4,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>4,Sport=>3,Art and Music=>3,Carnival=>2,Cuisine=>3,Economic=>1",5,3,3,never sleeps,New York City
496969,4,3,4,3,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>4,Sport=>4,Art and Music=>4,Carnival=>2,Cuisine=>3,Economic=>2",10,3,5,city of love,Paris
423637,4,5,1,3,"Friends,Co-worker","Skyscrapers=>1,Sport=>5,Art and Music=>6,Carnival=>4,Cuisine=>3,Economic=>2",37,5,10,,Dubai
423637,3,2,5,5,Partner,"Skyscrapers=>5,Sport=>2,Art and Music=>4,Carnival=>1,Cuisine=>3,Economic=>6",30,3,3,,Rio de Janeiro
423637,5,5,1,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>2,Sport=>5,Art and Music=>3,Carnival=>4,Cuisine=>6,Economic=>1",25,10,15,,New York City
423637,4,2,5,2,Partner,"Skyscrapers=>6,Sport=>5,Art and Music=>1,Carnival=>4,Cuisine=>2,Economic=>3",20,5,15,,Paris
520030,5,3,5,4,"Partner,Friends","Skyscrapers=>1,Sport=>4,Art and Music=>6,Carnival=>3,Cuisine=>5,Economic=>2",15,4,8,Fast and furious,Dubai
520030,5,2,2,5,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>4,Economic=>5",20,3,5,the big statue of Jesus Christ,Rio de Janeiro
520030,5,5,5,4,"Partner,Friends,Siblings","Skyscrapers=>2,Sport=>4,Art and Music=>3,Carnival=>5,Cuisine=>6,Economic=>1",5,5,10,concrete jungle where dreams are made of,New York City
520030,5,2,4,2,Partner,"Skyscrapers=>6,Sport=>2,Art and Music=>1,Carnival=>5,Cuisine=>3,Economic=>4",0,3,5,love and romance,Paris
633746,4,5,4,1,Siblings,"Skyscrapers=>6,Sport=>2,Art and Music=>1,Carnival=>3,Cuisine=>5,Economic=>4",5,3,4,Exploitation of migrant workers,Dubai
633746,3,4,3,5,Friends,"Skyscrapers=>1,Sport=>5,Art and Music=>3,Carnival=>6,Cuisine=>4,Economic=>2",9,2,5,Christ The Redeemer,Rio de Janeiro
633746,5,5,4,4,Co-worker,"Skyscrapers=>4,Sport=>2,Art and Music=>5,Carnival=>1,Cuisine=>3,Economic=>6",-5,5,8,Concrete Jungle,New York City
633746,5,3,4,2,Partner,"Skyscrapers=>2,Sport=>4,Art and Music=>5,Carnival=>1,Cuisine=>6,Economic=>3",-2,2,7,City Of Love,Paris
315692,5,5,4,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>5,Sport=>1,Art and Music=>3,Carnival=>4,Cuisine=>2,Economic=>6",17,3,5,â€œI want to go to â€“ whatâ€™s that hot country with a lot of money? â€“ Dubai.â€-Â Grandmaster Flash,Dubai
315692,3,5,4,5,"Partner,Friends,Siblings","Skyscrapers=>1,Sport=>6,Art and Music=>4,Carnival=>5,Cuisine=>3,Economic=>2",25,3,5,Rio de Janeiro is the place where the sun never stops shining.,Rio de Janeiro
315692,3,5,5,4,"Partner,Friends,Siblings","Skyscrapers=>5,Sport=>1,Art and Music=>2,Carnival=>4,Cuisine=>3,Economic=>6",0,3,4,"â€œNew York is made up of millions of different people, and they all come here looking for something.â€â€“ Lindsey Kelk",New York City
315692,4,5,5,5,"Partner,Friends,Siblings","Skyscrapers=>1,Sport=>4,Art and Music=>6,Carnival=>5,Cuisine=>2,Economic=>3",5,3,1,"Thereâ€™s something about Paris, people just donâ€™t have anything else to do there but love each other.",Paris
505215,5,3,4,3,Friends,"Skyscrapers=>6,Sport=>3,Art and Music=>4,Carnival=>4,Cuisine=>3,Economic=>6",24,4,10,Rich and rich,Dubai
505215,5,3,3,3,Friends,"Skyscrapers=>1,Sport=>4,Art and Music=>4,Carnival=>3,Cuisine=>4,Economic=>3",29,3,7,Hot but beautiful,Rio de Janeiro
505215,5,5,3,3,Friends,"Skyscrapers=>5,Sport=>3,Art and Music=>2,Carnival=>2,Cuisine=>2,Economic=>5",0,2,2,"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",New York City
505215,5,4,4,2,Friends,"Skyscrapers=>5,Sport=>3,Art and Music=>5,Carnival=>2,Cuisine=>1,Economic=>4",2,2,1,Paris is a moveable feast.,Paris
414451,5,2,5,4,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>2,Cuisine=>3,Economic=>5",25,20,5,Like an oasis in the dessert where the sky is the limit!,Dubai
414451,4,3,2,5,Friends,"Skyscrapers=>2,Sport=>6,Art and Music=>4,Carnival=>5,Cuisine=>3,Economic=>1",25,5,5,Happiness is when you enjoy the colors in life.,Rio de Janeiro
414451,5,5,4,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>4,Economic=>5",10,5,10,Feels like a dream or like a movie.,New York City
414451,5,4,5,5,Partner,"Skyscrapers=>6,Sport=>3,Art and Music=>5,Carnival=>1,Cuisine=>4,Economic=>2",15,5,15,"A place where the air, the food, the people, the culture, and everything that exists is filled with love. Where love is the most abundant element.",Paris
206154,4,1,4,3,"Siblings,Co-worker","Skyscrapers=>4,Sport=>3,Art and Music=>2,Carnival=>2,Cuisine=>3,Economic=>2",30,6,4,A city mixed between rural sands and urban skyscrapers.,Dubai
206154,3,3,2,5,Co-worker,"Skyscrapers=>1,Sport=>5,Art and Music=>5,Carnival=>5,Cuisine=>3,Economic=>2",20,3,3,A cozy seaside city springing with colorful life.,Rio de Janeiro
206154,4,5,3,4,Co-worker,"Skyscrapers=>5,Sport=>3,Art and Music=>4,Carnival=>3,Cuisine=>2,Economic=>3",10,2,4,Busy. Very busy place.,New York City
206154,5,3,4,3,"Friends,Co-worker","Skyscrapers=>2,Sport=>2,Art and Music=>6,Carnival=>3,Cuisine=>4,Economic=>3",15,1,4,A place filled with a lot of memorable landmarks and history.,Paris
629160,5,1,5,4,"Friends,Siblings","Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>3,Cuisine=>2,Economic=>5",25,4,7,Dubai will never settle anything for less than the first place.,Dubai
629160,3,1,2,5,"Friends,Siblings","Skyscrapers=>1,Sport=>5,Art and Music=>6,Carnival=>4,Cuisine=>3,Economic=>2",20,4,6,Brazil is football.,Rio de Janeiro
629160,5,4,3,4,"Friends,Siblings","Skyscrapers=>6,Sport=>2,Art and Music=>4,Carnival=>5,Cuisine=>3,Economic=>1",5,2,4,New York City is actually a world.,New York City
629160,5,1,5,4,"Friends,Siblings","Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>5,Cuisine=>3,Economic=>2",0,3,6,Paris is a good place to imagine.,Paris
493688,4,4,3,2,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>1,Cuisine=>2,Economic=>5",30,6,2,Beautiful but empty candy wrapper,Dubai
493688,3,3,3,3,Co-worker,"Skyscrapers=>3,Sport=>4,Art and Music=>4,Carnival=>6,Cuisine=>3,Economic=>3",25,2,2,Carnivals,Rio de Janeiro
493688,5,4,2,3,Co-worker,"Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>1,Cuisine=>2,Economic=>6",-5,1,3,Wall Street,New York City
493688,5,5,5,3,Partner,"Skyscrapers=>1,Sport=>3,Art and Music=>6,Carnival=>3,Cuisine=>6,Economic=>5",0,5,8,Fashion and culture capital,Paris
499616,4,3,4,3,"Partner,Friends","Skyscrapers=>5,Sport=>1,Art and Music=>3,Carnival=>4,Cuisine=>2,Economic=>6",20,3,3,"Very hot, many petroleum, rich people, and Burj Al Arab",Dubai
499616,3,3,4,4,"Partner,Friends","Skyscrapers=>3,Sport=>6,Art and Music=>4,Carnival=>5,Cuisine=>1,Economic=>2",15,3,5,"breathtaking landscape, its laid-back beach culture and its annual carnival",Rio de Janeiro
499616,5,5,4,4,"Partner,Friends,Siblings","Skyscrapers=>5,Sport=>1,Art and Music=>4,Carnival=>2,Cuisine=>3,Economic=>6",7,6,10,"My name is Jordan Belfort. I'm a former member of the middle class raised by two accountants in a tiny apartment in Bayside, Queens. The year I turned 26, as the head of my own brokerage firm, I made $49 million, which really pissed me off because it was three shy of a million a week. -- The Wolf of Wall Street",New York City
499616,5,5,5,4,"Partner,Friends","Skyscrapers=>4,Sport=>1,Art and Music=>6,Carnival=>3,Cuisine=>5,Economic=>2",5,3,10,"Haute cuisine is an antiquated hierarchy built upon rules written by stupid old men, rules designed to make it impossible for womÂ­en to enter this world. -- Sous chef Colette, from Ratatouille,",Paris
522169,5,4,3,3,"Partner,Friends","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>2,Cuisine=>6,Economic=>6",20,2,10,a parody of the 21st century,Dubai
522169,4,3,4,5,Friends,"Skyscrapers=>1,Sport=>5,Art and Music=>6,Carnival=>6,Cuisine=>4,Economic=>2",25,3,5,Carnival,Rio de Janeiro
522169,3,5,4,3,"Partner,Friends,Co-worker","Skyscrapers=>6,Sport=>5,Art and Music=>4,Carnival=>1,Cuisine=>4,Economic=>5",-10,13,20,Big Rotten Apple,New York City
522169,4,2,4,2,"Partner,Friends","Skyscrapers=>2,Sport=>1,Art and Music=>6,Carnival=>1,Cuisine=>6,Economic=>3",-15,2,20,City of romance,Paris
415092,4,5,2,3,Friends,"Skyscrapers=>5,Sport=>2,Art and Music=>3,Carnival=>4,Cuisine=>1,Economic=>6",20,5,5,riâ€†ch,Dubai
415092,4,2,3,2,Friends,"Skyscrapers=>2,Sport=>6,Art and Music=>4,Carnival=>2,Cuisine=>2,Economic=>3",15,2,3,chaois,Rio de Janeiro
415092,5,5,4,3,Friends,"Skyscrapers=>6,Sport=>3,Art and Music=>6,Carnival=>3,Cuisine=>3,Economic=>6",-10,5,5,dirty,New York City
415092,4,3,4,2,"Friends,Siblings","Skyscrapers=>4,Sport=>5,Art and Music=>6,Carnival=>5,Cuisine=>1,Economic=>5",10,3,10,"romantic

Â ",Paris
519545,2,4,4,4,"Partner,Friends","Skyscrapers=>6,Sport=>5,Art and Music=>4,Carnival=>2,Cuisine=>3,Economic=>1",20,3,5,The city is a dream for the rich and a nightmare for the poor.,Dubai
519545,4,2,3,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>1,Sport=>6,Art and Music=>5,Carnival=>2,Cuisine=>4,Economic=>3",20,4,5,,Rio de Janeiro
519545,1,1,2,3,Co-worker,"Skyscrapers=>5,Sport=>4,Art and Music=>3,Carnival=>1,Cuisine=>2,Economic=>6",-8,5,5,"""I'm walkin over here""",New York City
519545,5,4,3,4,Partner,"Skyscrapers=>1,Sport=>5,Art and Music=>4,Carnival=>2,Cuisine=>6,Economic=>3",5,4,5,,Paris
497226,4,4,4,3,"Partner,Friends","Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>3,Cuisine=>2,Economic=>5",20,4,6,Hot weather,Dubai
497226,4,4,3,4,Friends,"Skyscrapers=>2,Sport=>6,Art and Music=>5,Carnival=>5,Cuisine=>4,Economic=>3",25,3,4,Cristo Redentor,Rio de Janeiro
497226,5,5,4,5,"Friends,Co-worker","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>4,Cuisine=>3,Economic=>6",10,10,16,Prosperous economy,New York City
497226,4,4,4,2,"Partner,Friends","Skyscrapers=>2,Sport=>1,Art and Music=>6,Carnival=>2,Cuisine=>5,Economic=>4",10,6,12,The Eiffel Tower,Paris
525525,3,2,5,2,"Partner,Friends","Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",20,4,6,"""when in rome, do as the romans do""",Dubai
525525,3,2,3,4,"Partner,Friends","Skyscrapers=>1,Sport=>6,Art and Music=>4,Carnival=>3,Cuisine=>5,Economic=>2",25,3,6,"""brasil campeo do mundo""",Rio de Janeiro
525525,5,5,4,4,"Partner,Friends,Co-worker","Skyscrapers=>6,Sport=>2,Art and Music=>4,Carnival=>1,Cuisine=>3,Economic=>5",15,10,15,My name is Patrick Bateman. I'm 27 years old. I believe in taking care of myself and a balanced diet and rigorous exercise routine. In the morning if my face is a little puffy I'll put on an ice pack while doing stomach crunches.,New York City
525525,5,3,4,4,"Partner,Friends","Skyscrapers=>2,Sport=>1,Art and Music=>6,Carnival=>4,Cuisine=>5,Economic=>3",17,3,8,baguette,Paris
40536,4,2,1,1,"Partner,Friends","Skyscrapers=>5,Sport=>3,Art and Music=>1,Carnival=>2,Cuisine=>4,Economic=>6",30,7,7,Excellent facade but disgusting under the surface,Dubai
40536,4,3,4,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>1,Sport=>5,Art and Music=>4,Carnival=>6,Cuisine=>3,Economic=>2",22,4,10,Very lively and vibrant city,Rio de Janeiro
40536,5,5,3,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>4,Economic=>5",-5,10,10,Somewhat outdated but still very influential and classic,New York City
40536,5,3,5,3,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>4,Sport=>3,Art and Music=>5,Carnival=>1,Cuisine=>6,Economic=>2",0,5,8,Extremely iconic and world-renowned with a lot of classical variety,Paris
524804,5,1,4,1,"Partner,Siblings","Skyscrapers=>6,Sport=>2,Art and Music=>1,Carnival=>3,Cuisine=>4,Economic=>5",25,5,5,â€œTo infinity and beyondâ€,Dubai
524804,4,2,3,4,Friends,"Skyscrapers=>1,Sport=>4,Art and Music=>6,Carnival=>5,Cuisine=>3,Economic=>2",25,3,3,"""Everything happens for a reason""",Rio de Janeiro
524804,5,5,2,3,Co-worker,"Skyscrapers=>1,Sport=>3,Art and Music=>4,Carnival=>6,Cuisine=>5,Economic=>2",-5,3,3,"""All that glitters is not gold""",New York City
524804,5,3,3,3,"Friends,Co-worker","Skyscrapers=>6,Sport=>5,Art and Music=>1,Carnival=>4,Cuisine=>2,Economic=>3",0,2,2,"""Anyone can cook. But only the fearless can be great""",Paris
314116,5,2,4,2,"Partner,Friends","Skyscrapers=>6,Sport=>4,Art and Music=>1,Carnival=>3,Cuisine=>2,Economic=>5",30,2,3,the land of the rich,Dubai
314116,2,2,3,4,Partner,"Skyscrapers=>1,Sport=>5,Art and Music=>2,Carnival=>4,Cuisine=>6,Economic=>3",20,3,5,,Rio de Janeiro
314116,4,4,3,3,"Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>4,Cuisine=>5,Economic=>3",-10,1,10,i'm walkin here,New York City
314116,4,5,2,4,Partner,"Skyscrapers=>1,Sport=>2,Art and Music=>4,Carnival=>3,Cuisine=>6,Economic=>5",5,2,9,,Paris
520191,5,2,5,3,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>2,Cuisine=>4,Economic=>5",24,3,4,Money cannot buy passion.,Dubai
